大專院校名稱,補助計畫摘要,補助計畫,補助經費
國立成功大學,全額補助國立成功大學辦理本部「109年中小學數位學習深耕推動 07--304510,資訊與科技教育行政及督導,200000
國立臺灣體育運動大學,109年度大專校院健康促進學校計畫補助案 03--304510,一般行政,35000
國立成功大學,獎補助費109年度「高等教育深耕計畫」第2部分全校型計畫經費 06--304510,高等教育行政及督導,69824370
國立交通大學,獎補助費109年度「高等教育深耕計畫」第2部分全校型計畫經費 06--304510,高等教育行政及督導,57474000
國立中興大學,「臺灣學術網路(TANet)區域網路中心109年度基礎維運與資安人員計畫」暨「網際網路技術學刊」等計畫經費 03--304510,資訊與科技教育行政及督導,920000
國立臺灣師範大學,109年度大專校院健康促進學校計畫補助案 03--304510,一般行政,50000
國立虎尾科技大學,109年度大專校院健康促進學校計畫補助案 03--304510,一般行政,12000
國立高雄科技大學,109年度大專校院健康促進學校計畫補助案 03--304510,一般行政,25000
國立中山大學,109年度大專校院健康促進學校計畫補助案 03--304510,一般行政,30000
國立成功大學,智慧創新跨領域人才培育聯盟計畫 07--304510,資訊與科技教育行政及督導,100000
國立中興大學,獎補助費109特色領域研究中心計畫第1期款 06--304510,高等教育行政及督導,6900000
國立成功大學,智慧創新跨領域人才培育聯盟計畫 07--304510,資訊與科技教育行政及督導,20000
國立中央大學,智慧創新跨領域人才培育聯盟計畫 07--304510,資訊與科技教育行政及督導,90000
國立臺南護理專科學校,109年度大專校院健康促進學校計畫補助案 03--304510,一般行政,60000
國立臺北藝術大學,109年度大專校院健康促進學校計畫補助案 03--304510,一般行政,75000
國立聯合大學,109年度大專校院健康促進學校計畫補助案 03--304510,一般行政,10000
國立高雄師範大學,109年度補助大學校院特殊教育中心計畫經費 06--304510,學生事務與特殊教育行政及督導,150000
國立中正大學,補助國立中正大學「防制藥物濫用教育中心」109年營運計畫第1期、第2期經費 04--304510,學生事務與特殊教育行政及督導,915000
國立臺中教育大學,智慧創新跨領域人才培育聯盟計畫 07--304510,資訊與科技教育行政及督導,80000
國立屏東大學,109年度補助大學校院特殊教育中心計畫經費 06--304510,學生事務與特殊教育行政及督導,150000
國立臺南大學,109年度補助大學校院特殊教育中心計畫經費 06--304510,學生事務與特殊教育行政及督導,150000
國立中興大學,「補助大專校院食品安全人才培育計畫」108年第2期款經費 03--304510,高等教育行政及督導,1000000
國立臺灣大學,「補助大專校院食品安全人才培育計畫」108年第2期款經費 03--304510,高等教育行政及督導,1000000
國立清華大學,全額補助國立清華大學「109年中小學數位學習深耕推動 07--304510,資訊與科技教育行政及督導,194000
國立成功大學,教育部部分補助108年度「數位人文社會科學教學創新計畫」-成大 07--304510,資訊與科技教育行政及督導,40000
國立臺中科技大學,教育部部分補助108年度「數位人文社會科學教學創新計畫」-中科 07--304510,資訊與科技教育行政及督導,16000
國立交通大學,智慧創新跨領域人才培育聯盟計畫 07--304510,資訊與科技教育行政及督導,50000
國立屏東科技大學,智慧創新跨領域人才培育聯盟計畫 07--304510,資訊與科技教育行政及督導,48000
國立中興大學,智慧創新跨領域人才培育聯盟計畫 07--304510,資訊與科技教育行政及督導,100000
國立成功大學,為補助國立成功大學辦理109年度「教育單位網站資安弱掃防護計畫」 03--304510,資訊與科技教育行政及督導,700000
國立臺中教育大學,109年度補助大學校院特殊教育中心計畫經費(中教大) 06--304510,學生事務與特殊教育行政及督導,150000
國立東華大學,109年度補助大學校院特殊教育中心計畫經費（東華） 06--304510,學生事務與特殊教育行政及督導,120000
國立臺中科技大學,109年度大專校院健康促進學校計畫補助 03--304510,一般行政,62000
國立臺東大學,109年度補助大學校院特殊教育中心計畫經費(東大) 06--304510,學生事務與特殊教育行政及督導,150000
國立嘉義大學,109年科技輔助自主學習推動計畫 03--304510,資訊與科技教育行政及督導,168000
國立彰化師範大學,109年度大專校院健康促進學校計畫補助 03--304510,一般行政,51000
國立臺東專科學校,109年度大專校院健康促進學校計畫補助 03--304510,一般行政,30000
國立中央大學,109年國立大學校院校務及附設醫院基金(補助)-中央.暨南.中山.台海洋.台師.宜蘭.台南.屏科3月份 01--304510,國立大學校院校務及附設醫院基金,16000000
國立暨南國際大學,109年國立大學校院校務及附設醫院基金(補助)-中央.暨南.中山.台海洋.台師.宜蘭.台南.屏科3月份 01--304510,國立大學校院校務及附設醫院基金,5529000
國立中山大學,109年國立大學校院校務及附設醫院基金(補助)-中央.暨南.中山.台海洋.台師.宜蘭.台南.屏科3月份 01--304510,國立大學校院校務及附設醫院基金,4793000
國立臺灣海洋大學,109年國立大學校院校務及附設醫院基金(補助)-中央.暨南.中山.台海洋.台師.宜蘭.台南.屏科3月份 01--304510,國立大學校院校務及附設醫院基金,10000000
國立臺灣師範大學,109年國立大學校院校務及附設醫院基金(補助)-中央.暨南.中山.台海洋.台師.宜蘭.台南.屏科3月份 01--304510,國立大學校院校務及附設醫院基金,3000000
國立宜蘭大學,109年國立大學校院校務及附設醫院基金(補助)-中央.暨南.中山.台海洋.台師.宜蘭.台南.屏科3月份 01--304510,國立大學校院校務及附設醫院基金,1758000
國立臺南大學,109年國立大學校院校務及附設醫院基金(補助)-中央.暨南.中山.台海洋.台師.宜蘭.台南.屏科3月份 01--304510,國立大學校院校務及附設醫院基金,2000000
國立屏東科技大學,109年國立大學校院校務及附設醫院基金(補助)-中央.暨南.中山.台海洋.台師.宜蘭.台南.屏科3月份 01--304510,國立大學校院校務及附設醫院基金,12000000
國立臺北教育大學,109年度補助大學校院特殊教育中心計畫經費(國北教) 06--304510,學生事務與特殊教育行政及督導,150000
國立臺灣師範大學,109年度補助大學校院特殊教育中心計畫經費（臺師大） 06--304510,學生事務與特殊教育行政及督導,150000
國立臺中教育大學,109年科技輔助自主學習推動計畫 03--304510,資訊與科技教育行政及督導,515000
國立屏東大學,109年科技輔助自主學習推動計畫 03--304510,資訊與科技教育行政及督導,570000
國立交通大學,全額補助國立交通大學辦理本部「109年中小學數位學習深耕推動 07--304510,資訊與科技教育行政及督導,155000
國立高雄師範大學,智慧創新跨領域人才培育聯盟計畫 07--304510,資訊與科技教育行政及督導,80000
國立臺灣海洋大學,109年度大專校院健康促進學校計畫補助 03--304510,一般行政,27500
國立金門大學,補助「璀璨雙星計畫書-僑鄉教育深化暨海洋產業創生」經費(第一期款) 04--304510,高等教育行政及督導,3000000
國立澎湖科技大學,109年度大專校院健康促進學校計畫補助 03--304510,一般行政,12000
國立金門大學,109年度大專校院健康促進學校計畫補助 03--304510,一般行政,51000
國立成功大學,109年度大專校院健康促進學校計畫補助 03--304510,一般行政,30000
國立臺中科技大學,智慧創新跨領域人才培育聯盟計畫 07--304510,資訊與科技教育行政及督導,50000
國立交通大學,智慧創新跨領域人才培育聯盟計畫 07--304510,資訊與科技教育行政及督導,100000
國立東華大學,109年科技輔助自主學習推動計畫 03--304510,資訊與科技教育行政及督導,544000
國立屏東大學,智慧創新跨領域人才培育聯盟計畫 07--304510,資訊與科技教育行政及督導,300000
國立高雄師範大學,109年度大專校院健康促進學校計畫補助 03--304510,一般行政,51000
國立彰化師範大學,109年度補助大學校院特殊教育中心計畫經費-彰師大 06--304510,學生事務與特殊教育行政及督導,150000
國立嘉義大學,109年度補助大學校院特殊教育中心計畫經費-嘉大 06--304510,學生事務與特殊教育行政及督導,150000
國立中正大學,教育部補助智慧製造產業創新人才培育計畫 07--304510,資訊與科技教育行政及督導,203000
國立成功大學,教育部補助智慧製造產業創新人才培育計畫 07--304510,資訊與科技教育行政及督導,56900
國立臺中教育大學,109年國立大學校院校務及附設醫院基金(補助)-中教大.台體.虎科.東專.澎科.台戲曲.台科3月份 01--304510,國立大學校院校務及附設醫院基金,1730000
國立臺灣體育運動大學,109年國立大學校院校務及附設醫院基金(補助)-中教大.台體.虎科.東專.澎科.台戲曲.台科3月份 01--304510,國立大學校院校務及附設醫院基金,5000000
國立虎尾科技大學,109年國立大學校院校務及附設醫院基金(補助)-中教大.台體.虎科.東專.澎科.台戲曲.台科3月份 01--304510,國立大學校院校務及附設醫院基金,2000000
國立臺東專科學校,109年國立大學校院校務及附設醫院基金(補助)-中教大.台體.虎科.東專.澎科.台戲曲.台科3月份 01--304510,國立大學校院校務及附設醫院基金,5051000
國立澎湖科技大學,109年國立大學校院校務及附設醫院基金(補助)-中教大.台體.虎科.東專.澎科.台戲曲.台科3月份 01--304510,國立大學校院校務及附設醫院基金,3626000
國立臺灣戲曲學院,109年國立大學校院校務及附設醫院基金(補助)-中教大.台體.虎科.東專.澎科.台戲曲.台科3月份 01--304510,國立大學校院校務及附設醫院基金,1000000
國立臺灣科技大學,109年國立大學校院校務及附設醫院基金(補助)-中教大.台體.虎科.東專.澎科.台戲曲.台科3月份 01--304510,國立大學校院校務及附設醫院基金,35949000
國立中央大學,智慧製造跨校跨域教學策略聯盟計畫 07--304510,資訊與科技教育行政及督導,830000
國立臺北科技大學,教育部部分補助108年度「數位人文社會科學教學創新計畫」-北科大2案 07--304510,資訊與科技教育行政及督導,60000
國立中正大學,智慧製造跨校跨域教學策略聯盟計畫 07--304510,資訊與科技教育行政及督導,400000
國立雲林科技大學,智慧製造跨校跨域教學策略聯盟計畫 07--304510,資訊與科技教育行政及督導,186000
國立政治大學,109年科技輔助自主學習推動計畫 03--304510,資訊與科技教育行政及督導,280000
國立中興大學,智慧製造跨校跨域教學策略聯盟計畫 07--304510,資訊與科技教育行政及督導,1310000
國立勤益科技大學,智慧製造跨校跨域教學策略聯盟計畫 07--304510,資訊與科技教育行政及督導,271000
國立聯合大學,智慧製造跨校跨域教學策略聯盟計畫 07--304510,資訊與科技教育行政及督導,44000
國立清華大學,109年度補助大學校院特殊教育中心計畫經費 06--304510,學生事務與特殊教育行政及督導,150000
國立臺北大學,109年國立大學校院校務及附設醫院基金補助-臺北.北藝.政大.高雄.交大.清華.東華.嘉義.台東.台藝3月份 01--304510,國立大學校院校務及附設醫院基金,838000
國立臺北藝術大學,109年國立大學校院校務及附設醫院基金補助-臺北.北藝.政大.高雄.交大.清華.東華.嘉義.台東.台藝3月份 01--304510,國立大學校院校務及附設醫院基金,45300000
國立政治大學,109年國立大學校院校務及附設醫院基金補助-臺北.北藝.政大.高雄.交大.清華.東華.嘉義.台東.台藝3月份 01--304510,國立大學校院校務及附設醫院基金,12970000
國立高雄大學,109年國立大學校院校務及附設醫院基金補助-臺北.北藝.政大.高雄.交大.清華.東華.嘉義.台東.台藝3月份 01--304510,國立大學校院校務及附設醫院基金,4060000
國立交通大學,109年國立大學校院校務及附設醫院基金補助-臺北.北藝.政大.高雄.交大.清華.東華.嘉義.台東.台藝3月份 01--304510,國立大學校院校務及附設醫院基金,8000000
國立清華大學,109年國立大學校院校務及附設醫院基金補助-臺北.北藝.政大.高雄.交大.清華.東華.嘉義.台東.台藝3月份 01--304510,國立大學校院校務及附設醫院基金,6542000
國立東華大學,109年國立大學校院校務及附設醫院基金補助-臺北.北藝.政大.高雄.交大.清華.東華.嘉義.台東.台藝3月份 01--304510,國立大學校院校務及附設醫院基金,3800000
